id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
754598,Pyriglena,similis,,birds,Tapajos Fire-eye,JAYRSON ARAUJO DE OLIVEIRA,Brazil,"Sinop, Cascalheiras - Mato Grosso",-11.7519,-55.638,340,song,male,adult,in the hand,//xeno-canto.org/754598,https://xeno-canto.org/754598/download,XC754598-18-09-2022-8e21-Papa-taoca-do-tapajos.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754598-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754598-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754598-large.png', 'full': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754598-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC754598-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC754598-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC754598-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:20,8:21,2022-09-18,2022-10-08,['Tangara chilensis'],,yes,yes,yes,,,no,Panasonic RRUS551,Embutido,44100
695999,Pyriglena,similis,,birds,Tapajos Fire-eye,Felipe Arantes,Brazil,"Vitória do Xingu, Pará",-3.3389,-51.8571,130,song,,,field recording,//xeno-canto.org/695999,https://xeno-canto.org/695999/download,XC695999-STE-037 Pyriglena similis.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/AKHCFQUKLZ/ffts/XC695999-small.png', 'med': '//xeno-canto.org/sounds/uploaded/AKHCFQUKLZ/ffts/XC695999-med.png', 'large': '//xeno-canto.org/sounds/uploaded/AKHCFQUKLZ/ffts/XC695999-large.png', 'full': '//xeno-canto.org/sounds/uploaded/AKHCFQUKLZ/ffts/XC695999-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/AKHCFQUKLZ/wave/XC695999-small.png', 'med': '//xeno-canto.org/sounds/uploaded/AKHCFQUKLZ/wave/XC695999-med.png', 'large': '//xeno-canto.org/sounds/uploaded/AKHCFQUKLZ/wave/XC695999-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:34,08:00,2021-11-07,2022-01-07,[],,yes,yes,yes,,,no,,,48000
529078,Pyriglena,maura,,birds,Western Fire-eye,Benedito Pio da Silva Campos Neto,Brazil,"Chapada dos Guimarães, Mato Grosso. Cond. Manauá",-15.4467,-55.7002,750,song,female,adult,field recording,//xeno-canto.org/529078,https://xeno-canto.org/529078/download,XC529078-papa.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/YKEVZTXLJM/ffts/XC529078-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YKEVZTXLJM/ffts/XC529078-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YKEVZTXLJM/ffts/XC529078-large.png', 'full': '//xeno-canto.org/sounds/uploaded/YKEVZTXLJM/ffts/XC529078-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/YKEVZTXLJM/wave/XC529078-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YKEVZTXLJM/wave/XC529078-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YKEVZTXLJM/wave/XC529078-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:25,10:30,2020-02-17,2020-02-22,[],,yes,yes,no,,,no,,,44100
246018,Pyriglena,maura,maura,birds,Western Fire-eye,Jeremy Minns,Brazil,"Comodoro, Mato Grosso",-13.3001,-59.8001,550,"call, song, various different calls",,,field recording,//xeno-canto.org/246018,https://xeno-canto.org/246018/download,XC246018-PYRLNT13.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC246018-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC246018-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC246018-large.png', 'full': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC246018-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC246018-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC246018-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC246018-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:53,07:34,2003-04-02,2015-05-25,['Thamnophilus stictocephalus'],Campinarana,no,no,yes,,,no,,,44100
214239,Saltator,olivascens,olivascens,birds,Olivaceous Saltator,Jeremy Minns,Brazil,Boa Vista. Ilha São José,2.9501,-60.5167,70,song,,,field recording,//xeno-canto.org/214239,https://xeno-canto.org/214239/download,XC214239-SALCOE12.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC214239-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC214239-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC214239-large.png', 'full': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC214239-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC214239-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC214239-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC214239-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:55,07:50,2001-07-11,2015-02-21,['Sakesphorus canadensis'],natural song of single bird in tree 25m from mic,no,no,no,,,no,,,44100
178515,Pyriglena,maura,,birds,Western Fire-eye,Douglas Meyer,Brazil,"Rosário Oeste, Mato Grosso",-14.8264,-56.4241,200,song,"female, male",,field recording,//xeno-canto.org/178515,https://xeno-canto.org/178515/download,XC178515-Thamnophilidae_Pyriglena_leuconota_05_08_2013_H08_14_Rosário_Oeste.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC178515-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC178515-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC178515-large.png', 'full': '//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC178515-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/MNENFHYTAE/wave/XC178515-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MNENFHYTAE/wave/XC178515-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MNENFHYTAE/wave/XC178515-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:38,08:14,2013-08-05,2014-05-18,[],,yes,yes,no,,,no,,,44100
174050,Pyriglena,maura,,birds,Western Fire-eye,João Antônio de B. Vitto,Brazil,"Rosário Oeste, Mato Grosso",-14.8264,-56.4241,200,song,male,,field recording,//xeno-canto.org/174050,https://xeno-canto.org/174050/download,XC174050-PAPA TAOCA - ROSARIO OESTE - 05-08-13 (1).mp3,"{'small': '//xeno-canto.org/sounds/uploaded/RIVNLYTULO/ffts/XC174050-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RIVNLYTULO/ffts/XC174050-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RIVNLYTULO/ffts/XC174050-large.png', 'full': '//xeno-canto.org/sounds/uploaded/RIVNLYTULO/ffts/XC174050-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/RIVNLYTULO/wave/XC174050-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RIVNLYTULO/wave/XC174050-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RIVNLYTULO/wave/XC174050-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:38,09:00,2013-08-05,2014-04-12,[],,yes,yes,yes,,,no,,,44100
171181,Pyriglena,maura,maura,birds,Western Fire-eye,GABRIEL LEITE,Brazil,"Jauru, Mato Grosso",-15.2102,-58.8885,500,song,male,,field recording,//xeno-canto.org/171181,https://xeno-canto.org/171181/download,XC171181-Pyriglena leuconota_Jauru_1425.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC171181-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC171181-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC171181-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC171181-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/wave/XC171181-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/wave/XC171181-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/wave/XC171181-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:40,11:00,2014-03-25,2014-03-26,['Thamnophilus doliatus'],,yes,yes,yes,,,no,,,48000
108542,Pyriglena,similis,,birds,Tapajos Fire-eye,Tayler Brooks,Brazil,"Cristalino Jungle Lodge, MT",-9.5981,-55.932,200,song,,,field recording,//xeno-canto.org/108542,https://xeno-canto.org/108542/download,White-backed Fire-eye song 8-19-11.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/ARFGONJCBJ/ffts/XC108542-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ARFGONJCBJ/ffts/XC108542-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ARFGONJCBJ/ffts/XC108542-large.png', 'full': '//xeno-canto.org/sounds/uploaded/ARFGONJCBJ/ffts/XC108542-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/ARFGONJCBJ/wave/XC108542-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ARFGONJCBJ/wave/XC108542-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ARFGONJCBJ/wave/XC108542-large.png'}",//creativecommons.org/licenses/by-nc-nd/2.5/,A,0:19,15:20,2011-08-19,2012-08-26,[],Natural vocalization. Near small antswarm.,unknown,unknown,unknown,,,no,,,44100
89196,Pyriglena,maura,maura,birds,Western Fire-eye,Jeremy Minns,Brazil,"Vila Bela da Santíssima Trindade, MG. Fazenda Boa Esperança",-15.0178,-59.8826,200,song,,,field recording,//xeno-canto.org/89196,https://xeno-canto.org/89196/download,PYRLNT12.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC89196-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC89196-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC89196-large.png', 'full': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC89196-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC89196-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC89196-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC89196-large.png'}",//creativecommons.org/licenses/by-nc-nd/2.5/,A,0:28,06:20,2003-03-23,2011-10-27,['Lipaugus vociferans'],Dry semideciduous forest. After playback.,unknown,unknown,unknown,,,no,,,44100
